distance,Raw,Median+Gaussian,Huber MRF lambda=0.1,Huber MRF lambda=1,Huber MRF lambda=10,derivative:Raw,derivative:Median+Gaussian,derivative:Huber MRF lambda=0.1,derivative:Huber MRF lambda=1,derivative:Huber MRF lambda=10,abs_derivative:Raw,abs_derivative:Median+Gaussian,abs_derivative:Huber MRF lambda=0.1,abs_derivative:Huber MRF lambda=1,abs_derivative:Huber MRF lambda=10
327,46960.0,46831.38075637309,46938.61826297802,46887.3994934804,46859.92127993115,368.0,12.965134276197205,304.74966674098687,125.23947002539717,24.157194677361986,368.0,12.965134276197205,304.74966674098687,125.23947002539717,24.157194677361986
328,47184.0,46844.393190408315,47130.8922544733,46976.33871024599,46879.07453860507,-104.0,13.371911425831058,-73.26473613822236,-14.891428111408459,3.9069856041678577,104.0,13.371911425831058,73.26473613822236,14.891428111408459,3.9069856041678577
329,46752.0,46858.12457922475,46792.08879070158,46857.61663725758,46867.735251139486,-160.0,14.529920598568424,-138.35951026382463,-65.91375435962254,-5.552524908605847,160.0,14.529920598568424,138.35951026382463,65.91375435962254,5.552524908605847
330,46864.0,46873.45303160545,46854.17323394565,46844.511201526744,46867.96948878786,40.0,16.62705167024251,12.950612972341332,-22.84983496746281,0.43271208776786807,40.0,16.62705167024251,12.950612972341332,22.84983496746281,0.43271208776786807
331,46832.0,46891.378682565235,46817.99001664626,46811.91696732266,46868.60067531502,-136.0,19.708384805144306,-106.23313406809393,-42.63575054275498,2.4612202929092746,136.0,19.708384805144306,106.23313406809393,42.63575054275498,2.4612202929092746
332,46592.0,46912.86980121574,46641.70696580946,46759.239700441234,46872.891929373676,88.0,23.65391519748664,72.25177821052421,30.942583339190605,18.3358505273427,88.0,23.65391519748664,72.25177821052421,30.942583339190605,18.3358505273427
333,47008.0,46938.68651296021,46962.49357306731,46873.80213400104,46905.27237636971,112.0,28.18048989779345,93.25447259439534,47.46350056032679,27.244065814513306,112.0,28.18048989779345,93.25447259439534,47.46350056032679,27.244065814513306
334,46816.0,46969.23078101133,46828.21591099825,46854.16670156189,46927.3800610027,-104.0,32.867124574906484,-73.19810707778743,-0.5520816582029511,27.676687683135242,104.0,32.867124574906484,73.19810707778743,0.5520816582029511,27.676687683135242
335,46800.0,47004.42076211002,46816.097358911735,46872.69797068463,46960.62575173598,72.0,37.21384509413838,68.36824247216646,54.88025446505708,41.27697832006743,72.0,37.21384509413838,68.36824247216646,54.88025446505708,41.27697832006743
336,46960.0,47043.658471199604,46964.952395942586,46963.927210492,47009.93401764284,208.0,40.70716973800154,173.61701674379947,93.19284505337419,51.804966789008176,208.0,40.70716973800154,173.61701674379947,93.19284505337419,51.804966789008176
337,47216.0,47085.835101586024,47163.331392399334,47059.08366079138,47064.23568531399,-96.0,42.889110221964074,-64.96404154658012,16.698280695069116,46.713451936851925,96.0,42.889110221964074,64.96404154658012,16.698280695069116,46.713451936851925
338,46768.0,47129.43669164353,46835.024312849426,46997.32377188214,47103.36092151654,-8.0,43.436453231362975,6.814484697213629,52.901997031825886,55.89328227837541,8.0,43.436453231362975,6.814484697213629,52.901997031825886,55.89328227837541
339,47200.0,47172.70800804875,47176.96036179376,47164.88765485503,47176.022249870744,256.0,42.2019715290844,226.7378579131473,150.00771040041582,71.46244084773934,256.0,42.2019715290844,226.7378579131473,150.00771040041582,71.46244084773934
340,47280.0,47213.8406347017,47288.50002867572,47297.33919268297,47246.28580321202,144.0,39.23115059507836,154.03981026054316,141.12113416941793,68.57784350188012,144.0,39.23115059507836,154.03981026054316,141.12113416941793,68.57784350188012
341,47488.0,47251.17030923891,47485.03998231485,47447.12992319387,47313.177936874505,192.0,34.74719008279499,181.73986521335246,129.35569210783433,58.15103050620746,192.0,34.74719008279499,181.73986521335246,129.35569210783433,58.15103050620746
342,47664.0,47283.33501486729,47651.979759102425,47556.05057689864,47362.587864224435,128.0,29.105762251587294,106.83857229972273,54.945942154092336,34.33932056115009,128.0,29.105762251587294,106.83857229972273,54.945942154092336,34.33932056115009
343,47744.0,47309.38183374208,47698.71712691429,47557.02180750205,47381.856577996805,-200.0,22.71947087904482,-180.99819839169868,-92.51786564556096,1.1615426722128177,200.0,22.71947087904482,180.99819839169868,92.51786564556096,1.1615426722128177
344,47264.0,47328.77395662538,47289.98336231903,47371.01484560752,47364.91094956886,-320.0,15.991606887568196,-277.4957522250734,-132.49953909077158,-11.900080949504627,320.0,15.991606887568196,277.4957522250734,132.49953909077158,11.900080949504627
345,47104.0,47341.36504751722,47143.725622464146,47292.02272932051,47358.056416097796,64.0,9.255541293550777,52.37037246586988,15.01924837324259,5.848287333828921,64.0,9.255541293550777,52.37037246586988,15.01924837324259,5.848287333828921
346,47392.0,47347.28503921248,47394.72410725077,47401.053342354004,47376.60752423652,312.0,2.729409898885933,264.619021040442,113.55728421049935,17.781484350547544,312.0,2.729409898885933,264.619021040442,113.55728421049935,17.781484350547544
347,47728.0,47346.82386731499,47672.96366454503,47519.13729774151,47393.61938479889,-8.0,-3.4680162713957543,3.0578800194052747,13.652604258255451,0.2928298023143725,8.0,3.4680162713957543,3.0578800194052747,13.652604258255451,0.2928298023143725
348,47376.0,47340.34900666969,47400.83986728958,47428.358550870515,47377.19318384115,-176.0,-9.300099024130759,-147.92446080754962,-64.599471435733,-16.366541765684815,176.0,9.300099024130759,147.92446080754962,64.599471435733,16.366541765684815
349,47376.0,47328.22366926673,47377.11474292993,47389.93835487004,47360.88630126752,0.0,-14.766125533224113,-18.151409709997097,-31.451018565447157,-17.06256751024921,0.0,14.766125533224113,18.151409709997097,31.451018565447157,17.06256751024921
350,47376.0,47310.81675560324,47364.537047869584,47365.45651373962,47343.06804882065,-96.0,-19.83758957334794,-69.89245571243737,-29.753584260615753,-19.464850005839253,96.0,19.83758957334794,69.89245571243737,29.753584260615753,19.464850005839253
351,47184.0,47288.54849012003,47237.329831505056,47330.43118634881,47321.95660125584,176.0,-24.415571400531917,141.1223619082557,38.1902657835999,-14.213617502013221,176.0,24.415571400531917,141.1223619082557,38.1902657835999,14.213617502013221
352,47728.0,47261.98561280218,47646.781771686095,47441.83704530682,47314.64081381662,-64.0,-28.312170420791517,-58.54211084381677,-31.675618388584553,-27.98374674839215,64.0,28.312170420791517,58.54211084381677,31.675618388584553,27.98374674839215
353,47056.0,47231.92414927845,47120.24560981742,47267.07994957164,47265.98910775906,-168.0,-31.269495867178193,-145.0856240737412,-69.2171209493572,-38.1522506696092,168.0,31.269495867178193,145.0856240737412,69.2171209493572,38.1522506696092
354,47392.0,47199.44662106782,47356.61052353861,47303.402803408106,47238.336312477404,80.0,-32.99481684510465,59.417531414248515,-7.975744459483394,-35.335979657782445,80.0,32.99481684510465,59.417531414248515,7.975744459483394,35.335979657782445
355,47216.0,47165.93451558824,47239.08067264592,47251.128460652675,47195.31714844349,0.0,-33.23885089062969,-2.126487663077569,-34.71011242909299,-44.05330661173866,0.0,33.23885089062969,2.126487663077569,34.71011242909299,44.05330661173866
356,47392.0,47132.96891928656,47352.35754821246,47233.98257854992,47150.22969925393,-72.0,-31.88162698749875,-84.93538337115751,-96.15459282779557,-57.17596422686984,72.0,31.88162698749875,84.93538337115751,96.15459282779557,57.17596422686984
357,47072.0,47102.17126161324,47069.209905903605,47058.819274997084,47080.965219989754,-336.0,-28.99542715660209,-297.09811279082714,-181.75366605429736,-68.81621826468836,336.0,28.99542715660209,297.09811279082714,181.75366605429736,68.81621826468836
358,46720.0,47074.97806497336,46758.1613226308,46870.475246441325,47012.59726272455,-112.0,-24.86650346719034,-120.2419701188046,-113.1064053350965,-53.7380941289739,112.0,24.86650346719034,120.2419701188046,113.1064053350965,53.7380941289739
359,46848.0,47052.43825467886,46828.725965665995,46832.60646432689,46973.489031731806,-16.0,-19.972895307673753,-25.80552863482444,-45.56554995098486,-32.833779406151734,16.0,19.972895307673753,25.80552863482444,45.56554995098486,32.833779406151734
360,46688.0,47035.03227435801,46706.550265361155,46779.344146539355,46946.92970391225,-40.0,-14.929821817866468,-29.424373499088688,-7.590244517858082,-13.612842623948382,40.0,14.929821817866468,29.424373499088688,7.590244517858082,13.612842623948382
361,46768.0,47022.57861104313,46769.87721866782,46817.425975291175,46946.26334648391,72.0,-10.377541174628277,72.71304664576746,62.79481639740334,8.246809895856131,72.0,10.377541174628277,72.71304664576746,62.79481639740334,8.246809895856131
362,46832.0,47014.277192008754,46851.97635865269,46904.93377933416,46963.42332370396,192.0,-6.85326751217508,181.98093324829824,123.9746937100681,23.731143405249895,192.0,6.85326751217508,181.98093324829824,123.9746937100681,23.731143405249895
363,47152.0,47008.87207601878,47133.839085164414,47065.37536271131,46993.72563329441,208.0,-4.704303040889499,191.0581523338078,117.12926473280459,22.388591255170468,208.0,4.704303040889499,191.0581523338078,117.12926473280459,22.388591255170468
364,47248.0,47004.868585926975,47234.092663320305,47139.19230879977,47008.2005062143,40.0,-4.021977672895446,30.716894757424598,19.413100488342025,2.484898230606632,40.0,4.021977672895446,30.716894757424598,19.413100488342025,2.484898230606632
365,47232.0,47000.82812067299,47195.27287467926,47104.201563687995,46998.69542975562,-288.0,-4.6386195091108675,-240.43722890680147,-98.88996326777487,-21.170304970895813,288.0,4.6386195091108675,240.43722890680147,98.88996326777487,21.170304970895813
