angle_deg,image_index,image,method,rmse_from_raw,mae_from_raw,residual_std,derivative_noise_mad,max_abs_derivative,max_abs_derivative_position,major_candidate_position,major_candidate_shift_from_median_gaussian,main_peak_prominence,main_peak_width,significant_peak_count,artificial_peak_suspect_count,assessment
192,32,img134600_ 32_192.tiff,Huber MRF lambda=10,289.5731834848794,229.51075930905233,289.5731834848794,28.465173833146522,150.2525376617923,1059,1059,-1,150.18139172086376,5.448432972519413,3,0,candidate_only_not_PD
198,33,img134604_ 33_198.tiff,Raw,0.0,0.0,0.0,260.9376,1008.0,1100,1100,41,1008.0,3.5207413945279313,4,0,candidate_only_not_PD
198,33,img134604_ 33_198.tiff,Median+Gaussian,370.72495949377003,289.80216815777504,370.72139667381026,17.851247941283056,96.32266659853485,1059,1059,0,95.21183473321435,9.570553858185235,4,0,candidate_only_not_PD
198,33,img134604_ 33_198.tiff,Huber MRF lambda=0.1,56.12709945469088,46.90696886559369,56.12709945469088,233.94598430610452,928.6647981158712,1100,1100,41,928.41469254814,3.5824182573983308,4,0,candidate_only_not_PD
198,33,img134604_ 33_198.tiff,Huber MRF lambda=1,226.8978318811234,181.93106536665417,226.8978318811234,115.71757473252532,490.0147170402779,1100,1100,41,487.9444969576725,3.3705260853589607,6,0,candidate_only_not_PD
198,33,img134604_ 33_198.tiff,Huber MRF lambda=10,333.4829465185411,266.3400581262419,333.4829465185411,32.010520963016084,188.6032193908104,1059,1059,0,188.4013287821508,6.706977023096897,5,0,candidate_only_not_PD
204,34,img134609_ 34_204.tiff,Raw,0.0,0.0,0.0,213.49439999999998,744.0,421,421,-654,744.0,1.2479871175523272,4,0,candidate_only_not_PD
204,34,img134609_ 34_204.tiff,Median+Gaussian,282.1615850231733,217.7567966756699,282.1479779973069,10.453037510396216,42.54614444393883,1075,1075,0,42.42634931064822,8.859036727488956,8,0,candidate_only_not_PD
204,34,img134609_ 34_204.tiff,Huber MRF lambda=0.1,39.767975836553,33.295815218313315,39.767975836553,182.89560614843992,671.8059771248154,421,421,-654,671.2765301658255,1.2248627230059128,5,0,candidate_only_not_PD
204,34,img134609_ 34_204.tiff,Huber MRF lambda=1,174.6228975748715,136.53887623669675,174.6228975748715,88.55383416612278,293.35098538265447,60,60,-1015,287.97749481668507,1.7009757145929232,4,0,candidate_only_not_PD
204,34,img134609_ 34_204.tiff,Huber MRF lambda=10,255.5827789288501,200.40997442965417,255.5827789288501,23.99936671962159,90.0628813884141,1084,1084,9,90.00677237812852,4.342904021470986,2,0,candidate_only_not_PD
